phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,epsilon,sample_size
1.0,0.05329200000000001,0.03512669402377584,2.6704957167623586,0.03512669402377584,50.11063042787585,-0.3016085415175432,0.0013955973302262638,235.52688596187915,0.0013955973302262638,4419.554266341649,0.12038352047867383,26.646,3.583390015055576,0.0,0.0071667800301111525,0.0008344803740868296,0.07995629394422449,6.735968830996433e-05,47.72369134996008,0.00016171269718629445,228.39533858863305,370.5460868743947,151991.21671268434,1162.7134158495553,9.726741397258301,5674.6063638795695,66.31293142259194,5.765037245332398,32.0355291631604,33.885341757750155,-34.27785718475723,-34.27785718475723,7.77594597238778e-05,-34.27785718475723,-7.77594597238778e-05,linear,500,11.658000000000001,1.0,0.2,1000
1.0,0.05213600000000001,0.03361820680760302,2.67456976488852,0.03361820680760302,51.299865062308584,-0.297986736587664,0.001277868197264891,243.81034551978837,0.001277868197264891,4676.429828137724,0.11721390173954985,26.068,3.643538938998731,0.0,0.007287077877997463,0.00078318906085093,0.08187209932679139,6.255728615892143e-05,49.765014274563754,0.00014768436830612505,236.65702209253254,386.5829243863812,165214.2190232663,1162.231400064737,10.027056613044735,5721.106666385087,70.33499470886149,6.067527877044349,33.88229714269813,35.30560088870313,-35.32600443994677,-35.32600443994677,7.190914875760013e-05,-35.32600443994677,-7.190914875760014e-05,linear,500,11.658000000000001,1.0,0.21,1000
1.0,0.050814000000000005,0.032260202953322076,2.6871403053890583,0.032260202953322076,52.88188895558424,-0.29422633979319646,0.0011741780093004496,251.74553284085422,0.0011741780093004496,4954.255379243008,0.11420432145761271,25.407,3.611281074632657,0.0,0.007222562149265315,0.0007352799055299736,0.08003138990079298,5.457235628920345e-05,54.14218323693778,0.00013345731471091926,244.52480982000782,402.29864798638613,178678.07574160537,1162.5181102543968,9.790195659252484,5769.220151291382,66.33873787481551,6.34944878010805,37.219476798056036,38.82137601863972,-36.04416063078142,-36.04416063078142,6.700938280627673e-05,-36.04416063078143,-6.700938280627672e-05,linear,500,11.658000000000001,1.0,0.22,1000
1.0,0.04982800000000001,0.03099798933638559,2.6962494833010155,0.03099798933638559,54.111131959962584,-0.2906166612472014,0.0010830257217028514,258.3809272332892,0.0010830257217028514,5185.456515077651,0.11122393091866761,24.914,3.539294279937739,0.0,0.007078588559875479,0.0007095848713213598,0.0828282882691059,5.144887172780271e-05,55.070777337494185,0.0001221503788041766,251.1111659570882,417.90344720652126,192434.52153428554,1162.4978831183182,9.882175809166876,5813.554057516716,68.70941520891628,6.6389316371555935,39.97883145881549,41.81688829979737,-37.132652740200854,-37.132652740200854,6.233727061768643e-05,-37.132652740200854,-6.233727061768643e-05,linear,500,11.658000000000001,1.0,0.23,1000
1.0,0.048812000000000015,0.029820804414148364,2.7073072077087628,0.029820804414148364,55.463968034679226,-0.2882851829195529,0.0010020531256357452,266.359946566728,0.0010020531256357452,5456.853777077934,0.10919296842107219,24.406,3.4639809468298175,0.0,0.006927961893659636,0.0006502320112474115,0.08689807049833556,4.559059254719099e-05,59.650017226728764,0.00011277274972885458,259.0304342498162,434.1759608313875,207554.68771234475,1162.7235603332838,10.12724254338185,5858.919450082749,68.33407553773627,6.917002412072526,43.89334096202576,45.820482464029375,-38.14882810179804,-38.14882810179804,5.820277179485045e-05,-38.14882810179803,-5.820277179485045e-05,linear,500,11.658000000000001,1.0,0.24,1000
1.0,0.04775800000000001,0.028764781741537557,2.7127361047023655,0.028764781741537557,56.80171080661595,-0.2844853929760491,0.0009303018150486503,273.0549102913515,0.0009303018150486503,5717.469540000658,0.10622535890245513,23.879,3.4199940058427005,0.0,0.006839988011685401,0.0006553647456608654,0.08571984881914274,4.314287953447244e-05,60.33633217009259,0.00010288914641035793,265.69597311759577,449.0816880112304,221515.40060237693,1162.816067531166,10.14179947787164,5899.495895900367,70.60857417143103,7.160554128045165,46.412866211492016,48.25507513155424,-38.95359515066281,-38.95359515066281,5.458967582789992e-05,-38.95359515066281,-5.458967582789992e-05,linear,500,11.658000000000001,1.0,0.25,1000
1.0,0.04660200000000001,0.027722176279860528,2.72279802698924,0.027722176279860528,58.42663462918412,-0.2824078730803835,0.0008632421491663214,282.90548366245895,0.0008632421491663214,6070.672581916204,0.10438179571905036,23.301,3.4549094054692664,0.0,0.006909818810938533,0.0006303725016885766,0.08310609604658416,4.080847573071371e-05,59.75570110928528,9.472309147465967e-05,275.49185456668243,465.24109379056387,237337.60837786098,1162.8634264169395,10.05073179680156,5941.174616546646,69.49181171123828,7.450771580078701,49.05213135914358,50.87074306947174,-39.7898947589824,-39.7898947589824,5.1176763804158735e-05,-39.7898947589824,-5.1176763804158735e-05,linear,500,11.658000000000001,1.0,0.26,1000
1.0,0.045622,0.02679834958645816,2.7372854582845245,0.02679834958645816,59.99924287152087,-0.27947835340576294,0.0008071870116850053,293.5644526075104,0.0008071870116850053,6434.712476601429,0.10210230265816844,22.811,3.399599829391689,0.0,0.006799199658783377,0.0005972315424797403,0.08414798946825891,3.729773513153927e-05,65.62023721195041,8.903547112698312e-05,286.0717209273745,481.3247898884718,253954.96915335977,1162.8692734400802,9.850261992510516,5980.212800007125,68.39913199994918,7.721848023113877,52.772922245332275,54.793633158788026,-40.72136354951159,-40.72136354951159,4.821425274665396e-05,-40.72136354951159,-4.821425274665396e-05,linear,500,11.658000000000001,1.0,0.27,1000
1.0,0.044256000000000004,0.025908210471041387,2.7414121763304227,0.025908210471041387,61.9444183010309,-0.2775611172721797,0.0007545387228118266,303.61845938896926,0.0007545387228118266,6860.503872671937,0.10037355584986986,22.128,3.382545786829795,0.0,0.006765091573659591,0.0005668072044232198,0.08554681949253427,3.553548252244839e-05,67.23932860034294,8.330335300004803e-05,296.10311866843654,497.480187737722,270983.3859138715,1163.0204491944648,10.150873000899331,6019.584325996729,70.66502117812973,8.050513028544911,60.231371478807326,62.524981051502316,-41.09637613966055,-41.09637613966055,4.554102615626154e-05,-41.09637613966055,-4.554102615626154e-05,linear,500,11.658000000000001,1.0,0.28,1000
1.0,0.04367,0.025091941236812774,2.751299721236752,0.025091941236812774,63.002054527976924,-0.2752715118299517,0.0007066004601562174,307.39470971467046,0.0007066004601562174,7039.036173910477,0.09867002687811144,21.835,3.3540684250623154,0.0,0.00670813685012463,0.0005640476629635037,0.09123914684994214,3.219028481786702e-05,72.30003413748328,7.699494512455212e-05,299.825059558593,512.9725068641864,287661.57787718694,1163.4945923310281,9.853350787732094,6058.032514611698,69.6631706584171,8.230226473275486,62.17645388669975,64.35446603634276,-42.429365666738974,-42.429365666738974,4.28971135971251e-05,-42.429365666738974,-4.28971135971251e-05,linear,500,11.658000000000001,1.0,0.29,1000
