"N","qN","R","qR","phiN","Chi","Nu","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
1.4729826049389161134,19.016060528034674897,0.7985957543732454,0.7143313749532538,0.19445968398162352865,0.27348290900358724,-11.37678019822864,1,1,0.25,1,2.,0.1,1,0.1,1.2094192277929443466e-11
0.0093943772085769488981,0.000096955917298306610264,4.959984754530069,24.611584981653408,0.99927010011916815065,6744.852780185714,-0.0023704478248769817,1,1,0.25,1,5.,0.1,1,0.1,1.5118524961636748379e-17
0.0074152373267818288283,0.016146247650314254821,0.5265008360022563,0.2893446578313872,0.0063131512513408523271,0.5805485260298716,-0.12082732428001902,1,1,0.3,1,0.5,0.1,1,0.1,5.6093756786148591407e-20
0.38817996891144374056,1.9219836207103358803,0.7276107011639241,0.5717587560358176,0.13593803642855942006,0.48812746492835357,-3.0943201018317845,1,1,0.3,1,1.,0.1,1,0.1,2.886433119611957622e-16
0.90701084687366924824,7.3526115240981988378,0.7696745780107175,0.6594300344575083,0.19088846877226341785,0.33933525608288073,-6.250405604304329,1,1,0.3,1,1.5,0.1,1,0.1,6.0609219137128357129e-15
1.4457472639295760213,16.347578368783392201,0.787878417083659,0.7027801483694843,0.21659082482562551055,0.25727297541777017,-9.354129466481472,1,1,0.3,1,2.,0.1,1,0.1,1.2158824289582012527e-12
0.038133619244708728841,0.0016614923564514547668,4.836719227340836,23.409339812417613,0.99581829100992820772,1118.4680205329537,-0.009892681305823792,1,1,0.3,1,5.,0.1,1,0.1,7.7910216113760147394e-18
0.012924057196008152,0.025007533396660248068,0.5229512705480595,0.28588311001061945,0.012278128704529548655,0.5702918514970624,-0.1757514539523602,1,1,0.35000000000000003,1,0.5,0.1,1,0.1,3.1332354166767426441e-20
0.39360164733243052801,1.7511458442151953224,0.7138624109280318,0.5541831491994383,0.15261625086480025158,0.4594747129912116,-2.711459217689164,1,1,0.35000000000000003,1,1.,0.1,1,0.1,3.7799843745945232935e-17
0.89976550088610863274,6.5666794518776906276,0.7584151361321232,0.6463648595895919,0.20926364757539733857,0.3205634948763819,-5.3289744508919625,1,1,0.35000000000000003,1,1.5,0.1,1,0.1,7.119456126443707114e-14
1.426787898208289538,14.547310246123718925,0.7782321915255366,0.6932573466078102,0.23582246221822445195,0.24352500589838807,-7.905066328316413,1,1,0.35000000000000003,1,2.,0.1,1,0.1,5.8413902985833528168e-12
