"N","qN","R","qR","phiN","Chi","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.3824106867583336,1.1189927738825949,0.7233740375263861,0.5905472968113941,0.22111069399081912,0.5232699981672254,1,1,0.45000000000000007,1,1.,0.1,1,0.1,6.948710838522638e-21
0.8330142509393408,3.4375650471964145,0.8183242433774396,0.8113687060550409,0.33172437586683057,0.44643637819950577,1,1,0.45000000000000007,1,1.5,0.1,1,0.1,3.594344258133641e-21
1.2825749176347359,6.774521878689349,0.8762034422390187,0.9717970371683512,0.3927204253706485,0.3838662360957527,1,1,0.45000000000000007,1,2.,0.1,1,0.1,2.1768781578768017e-20
0.,5.7112535631454495,5.,53.92322116342385,0.8868474151808295,5.,1,1,0.45000000000000007,1,5.,0.1,1,0.1,3.6960032194886443
0.023814686761952635,0.03578855553734954,0.4883696302319749,0.2500809087020516,0.02872427185780435,0.4770097914658317,1,1,0.5,1,0.5,0.1,1,0.1,8.371700664346089e-22
0.3845878951641006,1.0232966615234136,0.7222365611404399,0.5964499529884636,0.24310715945639388,0.5216256502479684,1,1,0.5,1,1.,0.1,1,0.1,4.867333449268824e-22
0.8106555582379639,2.9983387251265143,0.8284292355746126,0.8462585330657145,0.35774373599938863,0.457529998903158,1,1,0.5,1,1.5,0.1,1,0.1,9.865397821086545e-21
1.2297385806264736,5.760063997461807,0.8969661364688207,1.0395894488373623,0.4213948244754393,0.4022741249859016,1,1,0.5,1,2.,0.1,1,0.1,5.451600271995915e-20
3.625931431298543,37.07453613205615,1.0808634054042716,1.6747428668387356,0.5491461649853069,0.2336531402284238,1,1,0.5,1,5.,0.1,1,0.1,3.0696752192539765e-17
0.030242359584744364,0.0425488626343355,0.4853226964978736,0.24781589134283405,0.03872315104955509,0.4710762394719342,1,1,0.55,1,0.5,0.1,1,0.1,7.161015931654016e-22
0.38431552396126367,0.9373006013492361,0.7223786649003745,0.6042575320263139,0.26360029874265367,0.5218309355032474,1,1,0.55,1,1.,0.1,1,0.1,2.0163736853355367e-23
0.7845957096961677,2.6203080183695935,0.8405265079648652,0.8854579368906984,0.3811203026209152,0.47098987372774037,1,1,0.55,1,1.5,0.1,1,0.1,5.608689303748649e-21
1.1715313593443077,4.897688472127897,0.9210090341978291,1.1168874240309432,0.44672917355855774,0.42412882053700895,1,1,0.55,1,2.,0.1,1,0.1,8.226072527149885e-21
3.3173492064697236,29.084921376846566,1.1581180397701665,1.9748626020023936,0.5803867265542617,0.26824747880821864,1,1,0.55,1,5.,0.1,1,0.1,7.606959759429584e-17
0.03662546510088783,0.04854083455698111,0.48233428256688476,0.24573544028019545,0.0495005926472577,0.46529272027862284,1,1,0.6000000000000001,1,0.5,0.1,1,0.1,5.828868628401728e-22
0.3819446816412524,0.8592442483545197,0.7236179662505451,0.6136710333656284,0.28259652539502067,0.5236229610805749,1,1,0.6000000000000001,1,1.,0.1,1,0.1,2.118822554114219e-22
0.7557627519524261,2.2925576626434085,0.8543295489848983,0.9285307146029732,0.40196342588057543,0.48658598551249305,1,1,0.6000000000000001,1,1.5,0.1,1,0.1,2.15572479279671e-21
1.1097741716966925,4.162284365505418,0.9479687574294213,1.2034087737867978,0.4688527903124237,0.4493223825311405,1,1,0.6000000000000001,1,2.,0.1,1,0.1,5.42595992540187e-23
2.995355039613051,22.489577087629737,1.2514532376787844,2.361094075401471,0.606862153538738,0.3132270412193423,1,1,0.6000000000000001,1,5.,0.1,1,0.1,5.5415335539878726e-17
0.042802292368281744,0.053695958891850304,0.4794772735534199,0.24389062866349362,0.06079167614273068,0.45979691170844206,1,1,0.65,1,0.5,0.1,1,0.1,4.583906683549814e-22
0.37781730373625555,0.7880479288492013,0.725785630132732,0.624419841769407,0.30012734679757747,0.5267647809071668,1,1,0.65,1,1.,0.1,1,0.1,2.9613284154209273e-22
0.7250593847565714,2.0076252981116456,0.8695352828167534,0.9749661158394656,0.4204071105291096,0.504061072042141,1,1,0.65,1,1.5,0.1,1,0.1,5.819157482587787e-22
1.0462693736518016,3.5360887228740596,0.9773884248830697,1.2985226980773625,0.48793258835635817,0.477644066547704,1,1,0.65,1,2.,0.1,1,0.1,1.4385992366383681e-21
2.672549515598417,17.163956853099613,1.3614520318278904,2.850876105618809,0.6285381538729279,0.37071032699365836,1,1,0.65,1,5.,0.1,1,0.1,2.2445466406108698e-17
0.048668973690872606,0.0580182505323838,0.4767948824119501,0.2423035772511355,0.07238479756739008,0.45466671978845075,1,1,0.7000000000000001,1,0.5,0.1,1,0.1,3.166134130043064e-22
0.37225556348570554,0.7229905583350147,0.7287272331837893,0.6362591548496214,0.31624378933080693,0.5310433803837008,1,1,0.7000000000000001,1,1.,0.1,1,0.1,2.762006787795029e-22
0.6933176395936104,1.7599042693628066,0.8858349815336444,1.0241922240041437,0.43660865082028244,0.5231357430058079,1,1,0.7000000000000001,1,1.5,0.1,1,0.1,8.848599926346415e-23
