phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,dynamics,size,K,mu,epsilon,sample_size
0.314,0.05121600000000001,0.044813010255559775,0.010488300744061582,0.1427165931705725,0.20478562839857825,-0.5603050231698242,0.009329279780184696,0.003830184003647679,0.029711082102499023,0.07478491103654482,0.39617253054777246,25.608,3.537278049574277,0.03662239751845856,0.007074556099148554,0.0032326858255207836,0.0015059965634072355,0.0008197271785872477,0.0011087259220481428,0.00732107389201979,0.003720179551149796,1.693421355308657,3.112395181551337,4.92030521238121,0.7024435738020005,0.8973795942058812,0.1320195553272637,0.13224109135320633,0.006063983329654511,0.005934311742876552,-0.06506121685435722,-0.06506121685435722,0.057920000000000006,quadratic,500,0.0,1.0,0.1,1000
0.30907999999999997,0.05080600000000001,0.041677335740843306,0.009973803638519687,0.13484319833325778,0.1963115308924081,-0.5502469168855847,0.008244346317544702,0.003503414818760669,0.026673826574170768,0.0689567141432246,0.3827634758540962,25.403,3.4494334317391893,0.03612137317434098,0.006898866863478378,0.002869248270221425,0.0014640542820607834,0.0007200576901745184,0.0010408165156328547,0.006507346003089727,0.0034039380597409206,1.716571431964229,3.18817267519388,4.679972752746076,0.6943103099035445,0.897415083154631,0.13958977230126124,0.13137931302636985,0.005859094524046058,0.005852293979303523,-0.06370207143668105,-0.06370207143668105,0.05505,quadratic,500,0.0,1.0,0.11,1000
0.30340000000000006,0.050434000000000014,0.03898534649705414,0.009608252606906556,0.12849487968706041,0.1905114130726605,-0.5406985614425884,0.007352580322173835,0.0032549831140658405,0.024233949644607226,0.06453945977050879,0.3700576387920022,25.217,3.3926259740796656,0.035435010935514044,0.006785251948159331,0.0025471307709013535,0.0013082261132981911,0.0006328104167377584,0.0009400969827249157,0.005832723080678464,0.0031626645959077137,1.7396701581426133,3.267794197259366,4.48775469148973,0.6106378381711864,0.9061784911192509,0.13556779667928728,0.13074427860639598,0.005294248353174818,0.0053720118925533675,-0.06295030923677812,-0.06295030923677812,0.051230000000000005,quadratic,500,0.0,1.0,0.12,1000
0.29394,0.04929800000000001,0.03643583248903028,0.009215308243022571,0.12395670030969001,0.18693067148814502,-0.5333318468836229,0.006648023667750179,0.0030736417142669817,0.022616941102776685,0.06234820305624937,0.3603103577712784,24.649,3.4052604893018095,0.035174939943090164,0.00681052097860362,0.0024078493253452014,0.0012048611334277348,0.0005758510546902462,0.0008897607609723298,0.005320453778581505,0.002988719808253062,1.7604931565064468,3.3393701943015377,4.294490650201629,0.5691966221704008,0.9050062096805032,0.13514423375500803,0.12897788465496568,0.0057060600913400655,0.005696667526136498,-0.06412840059588489,-0.06412840059588489,0.047450000000000006,quadratic,500,0.0,1.0,0.13,1000
0.28891999999999995,0.04837600000000001,0.034333162232756856,0.00873704220634752,0.11883276420032136,0.18060695812691252,-0.52655415824971,0.0060370018104989685,0.00283150737402488,0.020895063721787926,0.058531242228065175,0.35131098725267645,24.188,3.3953874594808764,0.036685604806245185,0.006790774918961753,0.002268118147957837,0.001186873198524879,0.0005102393690173043,0.0008258164868985726,0.004858235781598166,0.002755171467509382,1.767362557731089,3.359317916271862,4.074718117396236,0.5589779260104316,0.9098472676913348,0.13760393073032584,0.13585483311533086,0.005538729096209707,0.005411766172509975,-0.06484656152129004,-0.06484656152129004,0.047040000000000005,quadratic,500,0.0,1.0,0.14,1000
0.28246000000000004,0.047450000000000006,0.0323489070664517,0.008462333546647795,0.11452562156217412,0.178342119002061,-0.5212654673549103,0.00552604225160245,0.0027000080150236566,0.019563981631390108,0.05690217102262713,0.3441180414528152,23.725,3.3138157764124427,0.03343573537399768,0.006627631552824886,0.00209232188557193,0.001173645002398845,0.00047339571388269595,0.0007799244472441486,0.004479590463208521,0.002628396925968936,1.7831672032563903,3.4145542514626404,3.9335061119266292,0.543324780912865,0.9147806912007858,0.14170985979624315,0.1399020632598449,0.0058496603763392085,0.00577840147182577,-0.058318824267567126,-0.058318824267567126,0.04521000000000001,quadratic,500,0.0,1.0,0.15,1000
0.2769400000000001,0.04661800000000001,0.030725184633964186,0.008088912202023488,0.11094527563358195,0.17351478403242285,-0.5149333364266668,0.0050757692677518285,0.002532942673278547,0.018328046752913368,0.05433400560467088,0.33588350967361286,23.309,3.2795607937649214,0.034779827486633684,0.006559121587529843,0.0020715258128320385,0.0010074400562709682,0.00043835782140913576,0.0007092694553855594,0.004131732296960639,0.0024675121726665025,1.796175251545174,3.456049658236065,3.747159992223378,0.47224191522787073,0.9192239343487745,0.13324389926836094,0.14607075990988305,0.005897794929980227,0.005946139866537137,617191438575.3566,-0.061101705756694054,0.04386,quadratic,500,0.0,1.0,0.16,1000
0.26992,0.04575200000000001,0.029061080300729174,0.007857251374490951,0.10766553164170559,0.1717356918711959,-0.5122310902118333,0.004700743934048047,0.002411083666023031,0.01741532281434516,0.05269897853696083,0.3318964240042377,22.876,3.2830814793422354,0.03370747098196481,0.006566162958684471,0.0019189027602974317,0.001031438961638896,0.0004112206352955915,0.0006749453087306234,0.003856197545802617,0.0023493472668610913,1.8114894352193642,3.5114049919997417,3.639041027306958,0.479616526832935,0.926195891033846,0.1373426254784718,0.1452440869723697,0.005910080691518113,0.005789204900798891,-0.06037216146417096,-0.06037216146417096,0.04116000000000001,quadratic,500,0.0,1.0,0.17,1000
0.26525,0.04537800000000001,0.02771333889332985,0.007650341342913341,0.10448007122838777,0.16859141749114875,-0.506955975212274,0.004382032868062792,0.0023344399002208443,0.016520387815505348,0.051444310022937194,0.32545910512935294,22.689,3.4632757614720777,0.035064761513519525,0.006926551522944155,0.0018699887949748246,0.0010071630774336662,0.00037527070085715685,0.0006918725073183316,0.0036140037154462432,0.002275912177557755,1.8315631087274715,3.585040180614565,3.5317205475762186,0.46885658696973587,0.933625198191467,0.14105359469259887,0.1402226091105472,0.00576356964806421,0.005610717918619782,28028040635.584118,-0.05685224603126301,0.038369999999999994,quadratic,500,0.0,1.0,0.18,1000
0.26244999999999996,0.044916000000000005,0.026625232954309967,0.00740933714215741,0.10144878245117149,0.16495986156731254,-0.49979570537406665,0.004083684951509592,0.002223138546666353,0.015559858836005299,0.04949547035947888,0.3164693763455206,22.458,3.2410239122845113,0.0331134036305542,0.006482047824569023,0.0017401370289900821,0.0009702169060063341,0.0003434608174820144,0.0006780829605095343,0.0033747819216383185,0.0021682402697802,1.8417440379445293,3.620993302302551,3.4144923713109536,0.44575009443072494,0.9246802741570075,0.13719447774655077,0.14628420046277407,0.005923352593734759,0.00602160600790957,-0.0544957195900342,-0.0544957195900342,0.03787000000000001,quadratic,500,0.0,1.0,0.19,1000
