phi_R,phi_N,mean_R,mean_N,mean_R_s,mean_N_s,mean_Growth,q_R,q_N,q_R_s,q_N_s,q_Growth,Survive,Survive_bar,phi_R_bar,phi_N_bar,mean_R_bar,mean_N_bar,q_R_bar,q_N_bar,var_R,var_N,mean_Dominator,q_Dominator,power,power_bar,opti_f,opti_f_bar,lam_min,lam_min_cor,lam_min_ran,nu,nu_threshold,chi,nu_test,chi_test,dynamics,size,K,mu,M,S,epsilon,sample_size
1.0,0.007107107107107107,0.4836938489301567,0.02267590634185476,0.4836938489301567,3.1905958359877333,-0.27471653176506833,0.24379140577416136,0.13396068631879698,0.24379140577416136,18.84883459612368,0.08805646675209078,0.7107107107107107,0.5510890077745022,0.0,0.005510890077745021,0.020292004475520323,0.029259926381792173,0.019594638432781634,0.31075642126734543,0.009831666281292083,0.13344648959037242,1.0363469511829508,1.0772285809061304,1.6375946651855149,2.0047095509357984,0.0914848005002973,0.19128654780488885,0.0003726455657335407,0.0004293909664592778,0.0004307821858858748,-0.5972558002187102,-0.902660430285161,0.46571079884414723,-0.59725580021871,-0.46571079884414723,linear,100,0.5,1.0,100,100,0.03,1000
1.0,0.009880000000000002,0.4737353796091829,0.03564187630796634,0.4737353796091829,3.607477359105905,-0.2661896228469089,0.23398694617736351,0.2182020950895761,0.23398694617736351,22.0852322965158,0.08358497636907176,0.988,0.5327813810560575,0.0,0.005327813810560575,0.020789821072881715,0.03199363175989567,0.019841736803156332,0.3651098983367155,0.009561736283906908,0.21693175174282373,1.058730082282348,1.1254365708012768,2.623007210882741,2.2115898733837254,0.16036112801859526,0.23785088210313768,0.0010835322800672668,0.0015663804581597354,0.001573941974094033,-0.9372471374351511,-1.1000553256281116,0.44599191470210364,-0.9372471374351512,-0.4459919147021036,linear,100,0.5,1.0,100,100,0.031,1000
1.0,0.01208,0.4633053460414518,0.050377601874322823,0.4633053460414518,4.170331280986989,-0.25883270776531775,0.22390865174010796,0.33681394515499957,0.22390865174010796,27.881949102235055,0.0798212170525007,1.208,0.5354773571309995,0.0,0.005354773571309995,0.020938470795647222,0.032998556567185734,0.019604399067104546,0.43126502317289506,0.00925680806951856,0.3342760423843918,1.085415722733055,1.1840896931863756,3.7493059207506056,2.258936422527086,0.261818326381636,0.284859275979681,0.0019886322086313415,0.003089925972382327,0.0030912105335584965,-1.2753630242684622,-1.3326677369576407,0.42531611479449627,-1.2753630242684622,-0.42531611479449627,linear,100,0.5,1.0,100,100,0.032,1000
1.0,0.013730000000000001,0.45150132221668143,0.06483321499310252,0.45150132221668143,4.7220112886454855,-0.2550472266713838,0.2129795317856608,0.49622832896345737,0.2129795317856608,36.141903056333376,0.07806273852291852,1.373,0.5778157145665043,0.0,0.005778157145665043,0.022080282627623796,0.035801070841470196,0.019942988202340896,0.6353071694022063,0.00912608782224919,0.4920249831971155,1.1133727852823811,1.2480706919195907,4.83659679030265,2.362801253658892,0.4002830814122133,0.4102462975403459,0.0029736021298597025,0.005536450358237507,0.005580627938679676,-1.599370669640802,-1.6057938450208857,0.40450698815598324,-1.599370669640802,-0.40450698815598324,linear,100,0.5,1.0,100,100,0.033,1000
1.0,0.01497,0.4411677757479944,0.0781258354306855,0.4411677757479944,5.218826682076521,-0.25032791423200756,0.20362062041020484,0.65680169670733,0.20362062041020484,43.87452883816499,0.07564039046705041,1.497,0.6434213238617447,0.0,0.0064342132386174455,0.021724060359382406,0.03596282066462247,0.01914335740758047,0.7094962889479812,0.008991614051772168,0.6506980505455875,1.1409875021247002,1.3124172986183542,5.878063853539505,2.3504476048396574,0.5564699298109015,0.46376834608963724,0.004012644655273276,0.008301072059429275,0.008256048890376625,-1.8555669806856758,-1.8592855517892544,0.38610270266058194,-1.8555669806856758,-0.38610270266058194,linear,100,0.5,1.0,100,100,0.034,1000
1.0,0.01679,0.43073708490250895,0.09157936083447352,0.43073708490250895,5.454399096752443,-0.24665245103616787,0.1941643782245812,0.8139252058586587,0.1941643782245812,48.47678414881824,0.07379414070859559,1.679,0.7320922073072489,0.0,0.00732092207307249,0.020486352582526752,0.034990564436568374,0.01765906220554347,0.7866493442944221,0.008629941914270018,0.8055384265278079,1.1695857470464748,1.3803182162542007,6.920683291175871,2.2232240729071653,0.7340495183010012,0.5042097259731388,0.005304642020734537,0.01253031028048839,0.012551900773989723,-2.285996661288218,-2.285996661288218,0.3677002107484041,-2.285996661288218,-0.3677002107484041,linear,100,0.5,1.0,100,100,0.035,1000
1.0,0.018,0.4204340300176035,0.10387686753553106,0.4204340300176035,5.770937085307281,-0.2437628982922119,0.18533039240609836,0.956032521774399,0.18533039240609836,53.112917876355496,0.07225993403582151,1.8,0.8,0.0,0.008,0.0192882210833823,0.03323681534207482,0.016201119582490108,0.8255313443267124,0.008565618809255238,0.9452421181654047,1.1985805370382865,1.450824067215479,7.9138344773659846,2.077572165829884,0.9297357368031753,0.5413274265581389,0.006274585160339996,0.017030559985103288,0.017008506890669736,-2.551571798590042,-2.551571798590042,0.35046927198073374,-2.551571798590042,-0.35046927198073374,linear,100,0.5,1.0,100,100,0.036000000000000004,1000
1.0,0.018990000000000003,0.41150603378968,0.11687900415670575,0.41150603378968,6.154765885029267,-0.23913501630932693,0.17775766336943555,1.1787530044170331,0.17775766336943555,62.07230144376164,0.06986567045880725,1.899,0.816577614192307,0.0,0.00816577614192307,0.01878216068367913,0.03470097206641069,0.015388684471734389,0.9839611954712336,0.008420447524122302,1.1650923028043698,1.2286844143753068,1.5275298041245333,8.891101531851909,2.1182284438781567,1.1709306097989172,0.6299602330462007,0.007145630282891731,0.020338992334739694,0.020293813633717937,-2.7721080917144225,-2.7721080917144225,0.3353856268608585,-2.7721080917144225,-0.3353856268608585,linear,100,0.5,1.0,100,100,0.037,1000
1.0,0.02015,0.402598681803732,0.1275156937299851,0.402598681803732,6.328322269478169,-0.2350660923478623,0.1703601794570947,1.3408609692175173,0.1703601794570947,66.54396869565842,0.06802434220628652,2.015,0.8745141508289046,0.0,0.008745141508289046,0.01804440056041539,0.034855623010737594,0.014325158623650273,1.0563596131114938,0.00827448086699205,1.324600717070078,1.2570837712367648,1.6007447279972458,9.77075470038021,2.0638695381604917,1.4022078308542814,0.6683189607132024,0.007924938772539355,0.024174479284133084,0.024185730287283606,-3.0210502429594923,-3.0210502429594923,0.3210620495923588,-3.021050242959492,-0.3210620495923588,linear,100,0.5,1.0,100,100,0.038,1000
1.0,0.021490000000000002,0.3937337481823272,0.1389518652625586,0.3937337481823272,6.465884842371269,-0.23281660858774678,0.16313403184834474,1.501443968672689,0.16313403184834474,69.86709951943644,0.06687867361302527,2.149,0.9353069015034585,0.0,0.009353069015034583,0.017645370439359296,0.03416803972088308,0.013650777416624025,1.1978896877957506,0.008107767390640482,1.4821363478127447,1.2869004924183596,1.6796556183095515,10.659882573905152,1.9751461506940022,1.6610584197708187,0.7242014595174732,0.008911635451967569,0.030049146056798676,0.03000639288655759,-3.3170624964241626,-3.3170624964241626,0.30698589277431837,-3.3170624964241626,-0.30698589277431837,linear,100,0.5,1.0,100,100,0.039,1000
