"N","qN","R","qR","phiN","Chi","Nu","Gamma","Mu","Sigc","taninv","K","sigK","M","sigM","error"
0.02587892115625949961494696,0.008707090433990626708854345,0.2895773039899294,0.1233089034067756,0.1334687628619274148932766,0.5132974940050403,-0.08025377698668734,1,1,1.8,1,1.,0.1,1,0.1,6.768971895227444796779361e-22
0.02491664327875790379996999,0.008030211308564524428333428,0.28374956803336615,0.11937792092043638,0.1341289225621462009095724,0.5133446675664555,-0.07634312339343018,1,1,1.85,1,1.,0.1,1,0.1,1.269041767907433346670935e-21
0.02400992989502555892467744,0.007419771777855394660079789,0.27810887667739814,0.1156379734560434,0.1347643697287594867696069,0.5133682295284385,-0.07271749242189637,1,1,1.9000000000000001,1,1.,0.1,1,0.1,3.736022444129290763303584e-22
0.02315448282969136778035013,0.006867938711240898076723498,0.272645593407165,0.11207694018645753,0.1353768427124125497711559,0.513371139015522,-0.06934955981951578,1,1,1.9500000000000002,1,1.,0.1,1,0.1,1.255202378224347982999787e-22
0.02234641882842769848875534,0.00636795293921193623255035,0.2673507113132444,0.10868363643610766,0.1359679194127618027507571,0.5133559987556606,-0.06621521894277003,1,1,2.,1,1.,0.1,1,0.1,2.026407469645357275299125e-21
0.02158222205504439369587978,0.005913962241632826594109606,0.2622158024616398,0.10544773060638073,0.1365390362141678703756315,0.5133251021596271,-0.06329313517114635,1,1,2.0500000000000003,1,1.,0.1,1,0.1,8.440513704317374701410183e-23
0.02085870221351119607327069,0.005500882515606010642547958,0.2572329736187,0.1023596667744061,0.137091502192265187398594,0.513280469790379,-0.060564370287292994,1,1,2.1,1,1.,0.1,1,0.1,1.841784875483874244432044e-21
0.02017295899572262580620038,0.005124283794212654724802797,0.2523948234090899,0.09941059888216286,0.1376265147184960791866635,0.5132238868095355,-0.058012065763745325,1,1,2.15,1,1.,0.1,1,0.1,8.939082060743975378981075e-22
0.01952235033902910284130104,0.004780294042931811921764946,0.24769440613970917,0.09659232746592353,0.1381451697272194234746292,0.5131569290026402,-0.055621173224694585,1,1,2.1999999999999997,1,1.,0.1,1,0.1,5.506008558748737071170324e-21
0.01890446528988895789157907,0.004465519739927034969756506,0.24312519601218363,0.09389724616096817,0.1386484738646200811723308,0.5130809912743751,-0.05337822551976306,1,1,2.25,1,1.,0.1,1,0.1,4.353677940139195668440307e-21
0.01831709949655730758789972,0.004176978243452393750645077,0.2386810570608181,0.09131829017901172,0.1391373522956222077943353,0.5129973071937639,-0.05127114038779874,1,1,2.3,1,1.,0.1,1,0.1,3.028413091567948427627442e-21
0.01775823428310115182094257,0.003912041338652271701778516,0.23435621415006647,0.08884889167474229,0.139612657327468132478015,0.5129069689520149,-0.049289052411442026,1,1,2.35,1,1.,0.1,1,0.1,8.953892369734352273195407e-21
0.01722601812677968042683397,0.00366838759148774665807226,0.2301452256613623,0.08648293986310779,0.1400751766344954871303653,0.5128109460285143,-0.0474221684286117,1,1,2.4,1,1.,0.1,1,0.1,2.321320514816217575844476e-21
0.01671874970809102347089478,0.003443961056815843469214409,0.2260429619830997,0.0842147415319047,0.1405256372343862116791309,0.5127100954824252,-0.04566164209555873,1,1,2.45,1,1.,0.1,1,0.1,4.043571922639442464264482e-21
0.01623486371768822455609445,0.003236937243272721829517737,0.22204458109294223,0.08203898967941156,0.1409647134284681070261959,0.51260517891386,-0.043999466014651815,1,1,2.5,1,1.,0.1,1,0.1,1.254906219709735491347454e-20
0.015772917697402979386835,0.003045693266655868743753872,0.2181455093435115,0.07995073196965367,0.1413930308651700135099267,0.51249687193663,-0.0424283774887975,1,1,2.5500000000000003,1,1.,0.1,1,0.1,3.119539486580405298214357e-20
0.0153315807429045597970629,0.002868782659045483456347804,0.21434142195409323,0.07794534362889727,0.1418111718105422668662735,0.5123857752821473,-0.040941776699579,1,1,2.6,1,1.,0.1,1,0.1,1.620204155208112691933222e-20
0.01490962271303179377787754,0.002704913049307989894298418,0.21062822898697287,0.07601849976171997,0.1422196765668031528322332,0.5122724189887781,-0.039533654720444095,1,1,2.6500000000000004,1,1.,0.1,1,0.1,1.841606672478954290400501e-20
0.0145059055799683571564887,0.002552928086348100596259075,0.20700205562151475,0.07416615531164851,0.1426190503827886612812453,0.5121572759054812,-0.03819853132155634,1,1,2.7,1,1.,0.1,1,0.1,1.542978451504279160074231e-20
0.01411937514181076351497539,0.002411790786019900020278283,0.20345923020205503,0.07238452211675588,0.1430097646042667302304293,0.5120407644679675,-0.0369313996241699,1,1,2.75,1,1.,0.1,1,0.1,1.97733652763838304006239e-20
0.01374905302998161802199114,0.002280569601936986762090729,0.1999962698533364,0.0706700501588162,0.1433922601372430564067724,0.5119232564245071,-0.03572767767356812,1,1,2.8,1,1.,0.1,1,0.1,5.09599286664474916567339e-21
0.01339403132010433596197629,0.002158426206647634402041647,0.19660986864483077,0.0690194099440477,0.1437669499842356392036192,0.5118050805986317,-0.03458316577887557,1,1,2.85,1,1.,0.1,1,0.1,1.187342801261112499148111e-21
0.0130534653370418111667173,0.002044604807039124093236858,0.19329688628768715,0.0674294759966817,0.1441342211481862551619502,0.5116865280746105,-0.03349400856631704,1,1,2.9,1,1.,0.1,1,0.1,2.182124046238590693737419e-21
0.01272656914622759661787936,0.00193842308357859224690762,0.19005433594513943,0.0658973131960192,0.1444944380744399116022681,0.5115678578092955,-0.03245666170086683,1,1,2.95,1,1.,0.1,1,0.1,2.775167236524904206587229e-21
0.01241261011148009575784764,0.001839263723277588225954495,0.1868793776533566,0.06442016130149116,0.1448479421790330271854056,0.5114492965361686,-0.03146786183238437,1,1,3.,1,1.,0.1,1,0.1,2.539874867724644259492495e-20
0.01211090525750299020632993,0.001746567832438019300554052,0.183769304285203,0.06299542528628518,0.1451950570745200235236583,0.5113310475506485,-0.030524600563522818,1,1,3.05,1,1.,0.1,1,0.1,6.754459698150050300462539e-20
0.01182081668063249066888785,0.001659828309120987712519991,0.180721536643784,0.06162066182966914,0.1455360875519850320106468,0.5112132895038224,-0.0296241005218703,1,1,3.0999999999999996,1,1.,0.1,1,0.1,9.715435955503429572550488e-20
0.01154174811508617997595077,0.001578584342822727740841791,0.1777336161239197,0.06029356865783997,0.1458713207640651514570282,0.5110961783704392,-0.028763794281552964,1,1,3.15,1,1.,0.1,1,0.1,1.334376679247566527536093e-19
0.0112731419872384595218414,0.001502416947877796320443469,0.17480319282167878,0.059011977041813435,0.1462010304607093403201601,0.5109798545644886,-0.027941305813508843,1,1,3.1999999999999997,1,1.,0.1,1,0.1,6.956427206909297352405669e-20
0.01101447554976141046189923,0.001430943821070035847214137,0.17192802998379242,0.057773837628956194,0.1465254710120457635096351,0.5108644333303916,-0.027154432833646172,1,1,3.25,1,1.,0.1,1,0.1,1.160956802780608798223397e-19
0.01076525962374838954518697,0.001363816885599173277881009,0.1691059803004844,0.05657722024517602,0.1468448894935518010676069,0.5107500242857356,-0.02640113276424646,1,1,3.3,1,1.,0.1,1,0.1,1.282323145187952176067465e-19
0.01052503496419854190946409,0.001300717898656859454727669,0.16633499349101188,0.05542030002027298,0.1471595180795461995722565,0.5106367191892258,-0.025679508178374433,1,1,3.35,1,1.,0.1,1,0.1,1.158290558323339071215844e-19
